"trial_type","trial_index","time_elapsed","internal_node_id","participant_name","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","phase","deviceInfo","itemID","stimulus_type","correct_ans","list","content","sound1","sound2"
"pavlovia","0","1755","0.0-0.0","Taro","","","","","","","","","","","","","","","","",""
"preload","1","2306","0.0-1.0","Taro","true","false","[]","[]","[]","","","","","","","","","","","",""
"survey-text","2","5217","0.0-2.0","Taro","","","","","","2909","{""participant_name"":""Taro""}","","","","","","","","","",""
"html-button-response","3","8253","0.0-3.0-0.0","Taro","","","","","","3035","0","
    <h1>
    実験を始める前に、音量調節をお願いいたします。
    </h1>
    <p>
    適切な音量に調節するまで、下の「再生」ボタンを押して、音量を確認しながら調節してください。
    </p>

    <audio id=""vol-test-stimulus"" src=""stimuli/word/FAS_E1M-LNTW-01-16.wav""></audio>
    <button id=""play-button"">再生する</button>
    
    <p>
    
    音量が自分の好みになるまで何回でも再生可能です。
    「この音量で一番聞き取れやすくて、負担がない」と自分にとって最適な音量に調節できたら、
    
    下のボタンを押して、次のページで聞いた内容を入力してください。
    音量がちゃんと聞こえるように調節したと確認のためなので、少し間違っていても構いません。
    </p>
  ","","","","","","","","",""
"survey-text","4","11193","0.0-3.0-1.0","Taro","","","","","","2938","{""vol-word"":""dance""}","","","","","","","","","",""
"fullscreen","5","13229","0.0-4.0","Taro","true","","","","","","","","","","","","","","","",""
"html-button-response","6","15230","0.0-5.0","Taro","","","","","","null","null","
    <h1 style = ""font-size: 60px; width: 100%;"">英語発音の知覚実験</h1>
    ","","","","","","","","",""
"html-button-response","7","17268","0.0-6.0","Taro","","","","","","2037","0","
    <h1>
    インストラクション：この実験では何をするの？
    </h1>
    <p style=""width:100%"">
    この実験では２つの英語の音声がペアで流されます。

    音声の内容は少し早く見られるように設定されています。

    音声の内容を見ながら、流された２つの音声を聞き、

    違う訛りの英語発音ペアであれば<span style=""background-color: yellow;"">[ F ]キー</span>を、

    同じ訛りの英語発音ペアであれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>できるだけ早く正確に</u>押してください。

    この実験では同じ発音／違う発音の判断をする際の正答率が記録されます。
    </p>
    ","","","","","","","","",""
"html-button-response","8","18199","0.0-7.0","Taro","","","","","","930","0","
    <h1>
    インストラクション：訛りの発音とは？
    </h1>
    <p style=""width: 70%"">
    以下の内容に対するご理解は、本実験の結果に重要な影響がありますので、読んでいただけますよう、よろしくお願いいたします。

    本実験では、「訛り」というのは、母語話者の発音のバリエーションではなく、母語が異なる話者が持つ「母語訛り」のことを指しています。母語話者の発音は地域によって、多くのバリエーションが存在しますが、本研究が重視しているのは母語話者と非母語話者の英語発音の違い、かつ母語が異なる非母語話者間の違いです。

    つまり、「違う訛りの英語発音ペア」というのは母語話者と非母語話者の英語発音ペア、あるいはA母語の非母語話者とB母語の非母語話者の英語発音ペアです。

    上記の内容が理解できましたら、下のボタンを押すと、実験の手順に関する説明に入ります。
    </p>
    ","","","","","","","","",""
"html-button-response","9","18874","0.0-8.0","Taro","","","","","","674","0","
    <h1>
    インストラクション：実験の手順に関するご説明
    </h1>
    <p>
    音声は常に凝視点（＋）の直後に流されますので、凝視点（＋）が提示されたら、必ずそのポイントに注目してください。

    この発音知覚実験はおおむね５０分程度で終了の予定ですが、途中で休憩ポイントが1回あります。
    休憩ポイントでは遠慮なく休憩してください（例：目を閉じるや深呼吸等）。

    ボタンを早く押すために、常に[ F ]と[ J ]のキーの上に指を置いてください。
    まず実験の手順に慣れていただくために、練習を１２問準備しました。
    準備ができましたら、 下のボタンを押して練習へ進んでください。
    </p>
    ","intro","{""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"",""platform"":""MacIntel"",""language"":""zh"",""screenResolution"":""2560x1440"",""windowSize"":""1480x1136""}","","","","","","",""
"html-keyboard-response","10","19876","0.0-9.0-0.0","Taro","","","","","","null","null","
    <h1 style= ""font-size: 50px"">
    +
    </h1>","","","","","","","","",""
"html-keyboard-response","11","20377","0.0-9.0-1.0","Taro","","","","","","null","null","
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            音声の内容は「<strong>ball</strong>」 
            </p>","","","","","","","","",""
"audio-keyboard-response","12","20945","0.0-9.0-2.0","Taro","","","","","","null","null","stimuli/FAS_E1M-WIPI-01-02.wav","","","","","","","","",""
"html-keyboard-response","13","21448","0.0-9.0-3.0","Taro","","","","","","null","null","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>ball</strong>」 
        </p>","","","","","","","","",""
"audio-keyboard-response","14","21948","0.0-9.0-4.0","Taro","","","","","","null","null","stimuli/FAS_E5M-WIPI-01-02.wav","","","","","","","","",""
"html-keyboard-response","15","22228","0.0-9.0-5.0","Taro","","","","","","280","j","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>ball</strong>」 
        </p>
    <p style=""width: 100%""> 
    違う訛りの英語発音であれば<span style=""background-color: yellow;"">[ F ]キー</span>を、同じ訛りの英語発音であれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>押してください</u>。
    </p>","practice","","2","EE","j","WIPI","ball","stimuli/FAS_E1M-WIPI-01-02.wav","stimuli/FAS_E5M-WIPI-01-02.wav"
"html-keyboard-response","16","23230","0.0-9.0-0.1","Taro","","","","","","null","null","
    <h1 style= ""font-size: 50px"">
    +
    </h1>","","","","","","","","",""
"html-keyboard-response","17","23732","0.0-9.0-1.1","Taro","","","","","","null","null","
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            音声の内容は「<strong>school</strong>」 
            </p>","","","","","","","","",""
"audio-keyboard-response","18","24507","0.0-9.0-2.1","Taro","","","","","","null","null","stimuli/FAS_E5M-WIPI-01-01.wav","","","","","","","","",""
"html-keyboard-response","19","25010","0.0-9.0-3.1","Taro","","","","","","null","null","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>school</strong>」 
        </p>","","","","","","","","",""
"audio-keyboard-response","20","25745","0.0-9.0-4.1","Taro","","","","","","null","null","stimuli/FAS_E1M-WIPI-01-01.wav","","","","","","","","",""
