ItemID,Sound1,Sound2,ExpAns,type
1,FAS_E5M-BKBR-00-01.wav,FAS_E1M-BKBR-00-01.wav,j,EE
2,FAS_E1M-BKBR-00-02.wav,FAS_E5M-BKBR-00-02.wav,j,EE
3,FAS_E1M-BKBR-00-03.wav,FAS_E5M-BKBR-00-03.wav,j,EE
4,FAS_E1M-BKBR-00-01.wav,FAS_M6M-BKBR-00-01.wav,f,EM
5,FAS_M6M-BKBR-00-02.wav,FAS_E1M-BKBR-00-02.wav,f,EM
6,FAS_E1M-BKBR-00-03.wav,FAS_M6M-BKBR-00-03.wav,f,EM
7,FAS_M1M-BKBR-00-01.wav,FAS_M6M-BKBR-00-01.wav,j,MM
8,FAS_M6M-BKBR-00-02.wav,FAS_M1M-BKBR-00-02.wav,j,MM
9,FAS_M6M-BKBR-00-03.wav,FAS_M1M-BKBR-00-03.wav,j,MM
10,FAS_E5M-BKBR-00-01.wav,FAS_M6M-BKBR-00-01.wav,f,EM
11,FAS_E5M-BKBR-00-02.wav,FAS_M6M-BKBR-00-02.wav,f,EM
12,FAS_M6M-BKBR-00-03.wav,FAS_E5M-BKBR-00-03.wav,f,EM
